,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,9,50,11,0.9743589743589743,1.0,0.96,0.9795918367346939
1,1,9,50,11,0.9230769230769231,0.8695652173913043,1.0,0.9302325581395349
2,2,9,50,11,0.8974358974358975,0.8928571428571429,0.9615384615384616,0.9259259259259259
3,3,9,50,11,0.9230769230769231,0.8947368421052632,0.9444444444444444,0.918918918918919
4,4,9,50,11,0.9743589743589743,0.9655172413793104,1.0,0.9824561403508771
5,5,9,50,11,1.0,1.0,1.0,1.0
6,6,9,50,11,1.0,1.0,1.0,1.0
7,7,9,50,11,1.0,1.0,1.0,1.0
8,8,9,50,11,1.0,1.0,1.0,1.0
9,9,9,50,11,1.0,0.0,0.0,0.0
